claim_id,output,claim,cited_pdf_pages,checked_pdf_pages,verdict,severity,reviewer_note
GO-F017,book-final-summary-completion-retry,"He acknowledges that many early details derive from later chroniclers and may reflect bias, admitting limited source material for those events [PDF p. 32‑33]",32‑33,32–33,overbroad_attribution,moderate,The source limits knowledge of early internal history and questions luxury stories; it does not broadly ascribe all these events to later chroniclers.
GO-F018,book-final-summary-completion-retry,"Later monuments are described: the surviving central dedications of the Hippodrome’s spina stand in the open space the Turks call Atmeidan, preserving three flanking monuments [PDF p. 51]",51,50–51,spatial_imprecision,minor,"Three monuments ornamented the central spina, rather than flanking other central dedications."
GO-F019,book-final-summary-completion-retry,"the Milion along the eastern Hippodrome wall marked the empire’s heart, later receiving statues including a repurposed porphyry column from a Hellenic Apollo [PDF p. 51]",51,51,misidentification,major,Constantine added an Apollo statue with a substituted head atop a porphyry column. The column was not repurposed from Apollo; it did not stand within the Milion.
GO-F020,book-final-summary-completion-retry,"North of the Hippodrome, Constantine erected an early basilica‑shaped church dedicated to Divine Wisdom (the first Hagia Sophia), which later burned in the fifth and sixth centuries, leaving no trace of its original form [PDF p. 53]",53,53,qualification_lost,moderate,"The original basilica form is probable, not established."
GO-F021,book-final-summary-completion-retry,"A wooden gallery from its western door crossed the square to the palace’s Royal Gate, allowing the emperor to avoid the Chalcoprateia market street [PDF p. 53]",53,53,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F022,book-final-summary-completion-retry,"The core of Constantinople comprised the palace, Hippodrome, and cathedral, while peripheral structures such as the Church of the Holy Apostles, granaries, the Golden Gate, and a bronze equestrian statue of Constantine dominated the urban landscape [PDF p. 54‑55]",54‑55,53–54,citation_incomplete,minor,Holy Apostles and the central grouping are described on53.
GO-F023,book-final-summary-completion-retry,"On 11 May 330, Constantine celebrated the dedication festival of the new capital; Christian bishops blessed the partially finished palace and held the first service in Hagia Sophia, although the emperor remained unbaptized [PDF p. 55]",55,54–55,citation_incomplete,minor,The precise dedication date is on54.
GO-F024,book-final-summary-completion-retry,"Pagan temples were spared as artworks rather than objects of worship, and statues of gods in the Baths and Senate House remained decorative [PDF p. 55]",55,55,reversed_subject,major,"The artworks-versus-worship distinction concerns statues, not surviving temples."
GO-F025,book-final-summary-completion-retry,"To populate the city, Constantine invited Roman senators, wealthy Greeks and Asians, court officials, artisans, and merchants, granting land, Senate seats, and free grain from Egypt while reserving African corn for older Rome [PDF p. 56]",56,55–56,citation_error,major,Nearly all population measures appear on55;56 only continues the African grain sentence.
GO-F026,book-final-summary-completion-retry,"After Constantine’s death in 337, his realm passed to his sons and nephews, but rapid murders and civil wars concentrated power under Constantius II, who nevertheless managed a brief period of internal peace despite barbarian pressures on the Rhine and Euphrates [PDF p. 57‑58]",57‑58,57‑58,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F027,book-final-summary-completion-retry,"The Goths, long raiders of the Balkan provinces, were forced across the Danube after a war from 328‑332 that secured hostages and peace terms for Constantine [PDF p. 59]",59,58–59,citation_error,major,The cited page59 is an illustration with garbled extracted text. The war is described on58.
GO-F028,book-final-summary-completion-retry,"by the mid‑fourth century many Goths had settled as farmers along the Theiss and Pruth rivers, trading with Moesian towns and adopting Christianity through Ulfilas’s translation of the Bible [PDF p. 60]",60,60,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F029,book-final-summary-completion-retry,"Around 372, the Huns swept from the Don and Volga, annihilating the Alans and crushing the Ostrogoths, who became Hunnic vassals; the Visigoths then fled to the Danube, seeking imperial refuge [PDF p. 61‑62]",61‑62,61–62,qualification_lost,moderate,"The Alans were almost exterminated, not annihilated without qualification."
GO-F030,book-final-summary-completion-retry,"In 376, the Visigoths begged Emperor Valens to cross the Danube; he allowed passage on the condition of hostages and disarmament, yet officials accepted bribes and failed to provide promised grain, leading to starvation and desperation [PDF p. 63‑64]",63‑64,63‑64,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F031,book-final-summary-completion-retry,"A banquet at Marcianopolis turned violent when Lupicinus ordered the murder of the Gothic leader Fritigern, sparking open war [PDF p. 64]",64,64,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F032,book-final-summary-completion-retry,"After a year of skirmishes, the Goths defeated Valens at Adrianople in 378, annihilating the Roman army and killing the emperor, an event the author compares to Cannae [PDF p. 66‑67]",66‑67,66–67,scope_compression,minor,Oman says almost annihilated and describes survivors. The date requires adjacent context.
GO-F033,book-final-summary-completion-retry,the Goths briefly besieged Constantinople’s Golden Gate but withdrew after confronting the city’s formidable walls [PDF p. 68],68,67–68,scope_and_citation_error,moderate,The Golden Gate episode is on67. Beyond skirmishes the Goths made no hostile attempt; describing a siege overstates it.
GO-F034,book-final-summary-completion-retry,"Theodosius succeeded Valens, restored order in the Balkans, and secured peace with the Goths through land grants and military commissions, eventually fielding forty thousand Gothic cavalry in his service [PDF p. 69‑70]",69‑70,68–70,citation_error,major,"The land grants and40,000 horsemen are on68.69 is an illustration."
GO-F035,book-final-summary-completion-retry,"After Theodosius’s death in 408, his son Theodosius II, still a child, ruled under the regency of his sister Pulcheria and praetorian prefect Anthemius, who rebuilt the Danube fleet, reorganized corn supplies, and revived the north‑west Balkan region [PDF p. 70‑71]",70‑71,70;80–81,misidentification_and_chronology,critical,"TheodosiusI died395, leaving Arcadius and Honorius. Arcadius died408, leaving TheodosiusII. Regency details are on80–81."
GO-F036,book-final-summary-completion-retry,"Pulcheria governed as a chaste Augusta for thirty‑six years, establishing a virtuous court [PDF p. 71‑72]",71‑72,71–72;81,citation_error,major,"Pulcheria’s36-year vow and government are on81, not71–72."
GO-F037,book-final-summary-completion-retry,"Successors Leo I, Zeno, and Anastasius maintained Eastern stability, contrasting with the West’s rapid turnover of puppet emperors manipulated by Germanic generals [PDF p. 73‑74]",73‑74,73–74;85–87,citation_error,major,The claimed rulers and East/West comparison appear on85–87.
GO-F038,book-final-summary-completion-retry,"Leo I introduced Isaurian troops, and Zeno later pacified the Ostrogoths by offering them the Italian throne, leading to Theodoric’s conquest of Italy and the eventual withdrawal of Germanic forces from the Balkans [PDF p. 75‑78]",75‑78,75–78;87–90,citation_error,major,"Leo’s Isaurians are on87 and Zeno’s Italian offer on90, not the cited pages."
GO-F039,book-final-summary-completion-retry,"Justinian, nephew of the short‑lived emperor Justin I, ascended in 527 after a brief reign by his uncle; he married the former actress Theodora, overturning a Senate law prohibiting such unions, and faced political opposition from his mother and the emperor‑designate [PDF p. 79‑81]",79‑81,79–81;91–93;96,misidentification_and_citation_error,major,"The objector was Justinian’s uncle, the reigning emperor. Justinian himself was heir designate. Cited pages concern earlier rulers."
GO-F040,book-final-summary-completion-retry,"Contemporary sources describe Theodora as extraordinarily beautiful yet morally suspect; her influence grew to rival Justinian’s, and she promoted charitable institutions for fallen women [PDF p. 82‑84]",82‑84,82–84;92–93;96,citation_error,major,Theodora’s character and charitable institutions are on92–93/96.82–84 concern Eudocia and an illustration.
GO-F041,book-final-summary-completion-retry,"Justinian’s reign combined ambitious building, codification of law, and military campaigns, yet his finance policies relied on heavy taxation and extortion, weakening the empire’s fiscal health for future generations [PDF p. 95‑99]",95‑99,95‑99,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F042,book-final-summary-completion-retry,"His foreign policy began with a four‑year war against Persian king Kobad over frontier fortresses; the conflict ended indecisively after a Roman victory at Dara in 530, introducing the talented general Belisarius [PDF p. 100]",100,100,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F043,book-final-summary-completion-retry,"The author depicts the “Blues” and “Greens” as long‑standing circus factions that evolved into powerful political parties by the fifth century, with the “Greens” supporting the late emperor Anastasius and Monophysitism and the “Blues” backing Justinian’s house and orthodoxy [PDF p. 101]",101,101,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F044,book-final-summary-completion-retry,"in January 532, Justinian ordered the execution of leaders from both sides, prompting seven rioters to be executed, four beheaded before a crowd at St Conon’s monastery, and three left to be hanged, though the rope failed and the half‑hung men survived, after which the mob rescued them and placed them in a nearby monastery [PDF p. 102]",102,101–102,count_and_sequence_error,major,"Seven were selected, not all executed. Two of three hanging victims survived. Existing rioting preceded the execution order."
GO-F045,book-final-summary-completion-retry,"This incident sparked six days of desperate rioting; the Blues and Greens united under the cry “Nika, conquer,” demanding the removal of finance minister John of Cappadocia and prefect Eudemius, whom they blamed for the executions [PDF p. 102]",102,102,attribution_imprecision,moderate,Eudemius was immediately responsible for executions; John is described as an unpopular finance minister.
GO-F046,book-final-summary-completion-retry,"unable to control the crowd, Justinian promised to dismiss the officials, yet the mob called for his deposition and for Hypatius, Anastasius’s nephew, to become Caesar [PDF p. 102]",102,102,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F047,book-final-summary-completion-retry,"With most troops away fighting Persia, the capital was nearly defenseless; Justinian could rely only on four thousand Imperial Guard, a few German auxiliaries, and five hundred cataphracts under Belisarius, fresh from the war [PDF p. 103]",103,102–103,citation_incomplete,minor,The guard count and Persian deployment begin on102.
GO-F048,book-final-summary-completion-retry,"Belisarius commanded the whole force, confronting rioters who fought as fiercely as the Goths a century earlier [PDF p. 103]",103,103,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F049,book-final-summary-completion-retry,"The main battle unfolded in the Augustaeum square between the palace and the Hippodrome; rebels set fire to the Senate’s Brazen Porch, and the flames spread to St Sophia, destroying the cathedral on the third day, as well as the hospital of Sampson and St Irene’s church [PDF p. 103]",103,103,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F050,book-final-summary-completion-retry,"While the blaze halted fighting, insurgents controlled most of the city but could not locate Hypatius, who had taken refuge with the emperor; Justinian eventually drove Hypatius out, fearing his presence, and the rebels later seized him [PDF p. 103]",103,103,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F051,book-final-summary-completion-retry,"On the sixth day they carried Hypatius to the Hippodrome, placed him on the royal Kathisma seat, and crowned him with his wife’s gold chain [PDF p. 103]",103,103,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F052,book-final-summary-completion-retry,"Empress Theodora, refusing to flee, urged Justinian to attack the rebels, a speech recorded by Procopius [PDF p. 105]",105,105,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F053,book-final-summary-completion-retry,"Prompted by her bold words, Justinian ordered a final assault; Belisarius attacked all three Hippodrome gates, and although the gate to the Kathisma resisted, the side entrances fell and the rebels were routed [PDF p. 106]",106,105–106,citation_error,minor,The three-gate assault and failed Kathisma entrance are on105.
GO-F054,book-final-summary-completion-retry,"approximately thirty‑five thousand men died during the six‑day “Nika” sedition, yet the Blues and Greens continued rioting for fifty more years without again threatening imperial rule [PDF p. 106]",106,106,qualification_lost,moderate,The estimate is explicitly introduced as it is said; approximate does not retain source uncertainty.
GO-F055,book-final-summary-completion-retry,"After the Persian truce and suppression of the Nika revolt, Justinian finally pursued his long‑delayed program of western reconquest [PDF p. 107]",107,107,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F056,book-final-summary-completion-retry,"Six years after his accession, the Germanic kingdoms of Italy and Africa had become weak, enabling his ambitions; in Africa, King Hilderic had been overthrown by his cousin Gelimer, and in Italy the Ostrogothic kingdom was destabilized by Amalasuntha’s ill‑chosen marriage to Theodahad [PDF p. 108]",108,107–108,citation_incomplete,minor,Hilderic and the six-year delay are on107.
GO-F057,book-final-summary-completion-retry,"Justinian declared war on Gelimer in 533, using the unlawful deposition of Hilderic as pretext; Belisarius sailed with ten thousand foot soldiers and five thousand horsemen, landing at Tripoli, which quickly surrendered, then advanced unopposed, captured Carthage after a hard fight, and ended the Vandal kingdom after 104 years of rule [PDF p. 110‑112]",110‑112,110‑112,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F058,book-final-summary-completion-retry,"In 535, Belisarius invaded Sicily with a modest force, capturing Palermo after a brief siege and taking the whole island within six months [PDF p. 114]",114,114,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F059,book-final-summary-completion-retry,"he then seized Naples and Rome without resistance, and although the Goths besieged Rome in 537 for over a year, the imperial garrison held out and the walls never fell [PDF p. 115‑116]",115‑116,114–116,overbroad_claim,major,Rome was evacuated without a blow. Naples required an aqueduct surprise entry; unopposed approach is not unopposed capture.
GO-F060,book-final-summary-completion-retry,"In 540, the starving Gothic army abandoned Ravenna; Belisarius entered the city, ending the Gothic war [PDF p. 117]",117,117–121,false_completion,major,Ravenna surrendered under famine rather than an army simply abandoning it. This did not end the Gothic war; subsequent resistance is narrated.
GO-F061,book-final-summary-completion-retry,"however, a new Persian conflict erupted when Chosroes I invaded Antioch in 540, sacking the city after a brief battle [PDF p. 125‑126]",125‑126,124–126,citation_incomplete,minor,The opening date requires124; the sack itself is supported on125.
GO-F062,book-final-summary-completion-retry,"Justinian redirected troops east, appointing Belisarius commander; after two years of inconclusive fighting, a peace treaty in 545 restored limited territories to Persia [PDF p. 126]",126,126,reversal,critical,Chosroes gave up his small conquests. Territories were not restored to Persia. Fighting also lasted beyond the two cited years.
GO-F063,book-final-summary-completion-retry,"In AD 542, a devastating plague struck the empire, killing up to five thousand people daily in Constantinople and halting normal life; the chronicler records that the disease spared no class, region, or season, yet seemed to avoid the most wicked [PDF p. 127‑128]",127‑128,127–128,qualification_lost,moderate,"The5,000 daily deaths are said to have occurred, not an established upper bound."
GO-F064,book-final-summary-completion-retry,"Justinian contracted the disease, survived, but never fully recovered his former vigor [PDF p. 128]",128,128,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F065,book-final-summary-completion-retry,"In his later years, he devoted increasing attention to theological disputes, especially Monophysitism, seeking compromise through edicts while forcing Pope Vigilius to sign his demands in AD 554, a policy that alienated the Western Church and deepened East‑West estrangement [PDF p. 129]",129,129,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F066,book-final-summary-completion-retry,"The death of Empress Theodora in AD 548 removed a bold political partner, leaving Justinian increasingly distrustful and isolated [PDF p. 130]",130,129–130,citation_error,minor,Theodora’s death and its possible consequences are on129.
GO-F067,book-final-summary-completion-retry,"even Belisarius, his most trusted general, was repeatedly deprived of troops and later recalled only during emergencies, such as the Hunnic incursion of 556, which he repelled with a small, undisciplined force [PDF p. 130‑131]",130‑131,130–131,chronology_error,major,"The Hun emergency is dated558, not556."
GO-F068,book-final-summary-completion-retry,"the emperor’s reign ended with the Persian war’s conclusion in AD 532, while another threat rose and fell in the same year, a note that the author treats as uncertain [PDF p. 101]",101,101;131,chronology_error_and_false_uncertainty,critical,"532 ends the first Persian war, not Justinian’s reign.131 records his565 death.101 does not call the described threat uncertain."
GO-F069,book-final-summary-completion-retry,"Beyond warfare, Justinian left a monumental architectural legacy. He rebuilt St Sophia within forty days of its Nika‑era destruction, employing Anthemius of Tralles as chief architect; the new cathedral combined a Greek cross plan with a massive central dome, becoming a model for later Byzantine churches [PDF p. 133‑135]",133‑135,133–135,chronology_error,critical,Preparations began within40 days; the cathedral was not rebuilt within40 days.
GO-F070,book-final-summary-completion-retry,"He also constructed countless churches, forts, hospitals, and public buildings across the empire, many still standing today [PDF p. 132‑133]",132‑133,132–133,temporal_imprecision,minor,Survival refers to Oman’s writing period. Today should not silently update that observation.
GO-F071,book-final-summary-completion-retry,"his codification of Roman law, supervised by Tribonian, produced the Institutes and Pandects, forming the foundation of European legal tradition [PDF p. 138‑139]",138‑139,138‑139,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F072,book-final-summary-completion-retry,"After Justinian’s death, his successors—Justinian II, Tiberius II, and Maurice—inherit a weakened state, exhausted by plague, heavy taxation, and continuous wars [PDF p. 140‑141]",140‑141,140–141,misidentification,critical,"The successor is JustinusII, not JustinianII."
GO-F073,book-final-summary-completion-retry,"the Lombards crossed the Alps in AD 568, rapidly occupying northern Italy, sparing only Pavia, which fell in 571 and became their capital [PDF p. 142‑143]",142‑143,142–143,reversed_action,moderate,Pavia resisted for three years. It was not spared by the invaders.
GO-F074,book-final-summary-completion-retry,"subsequent Lombard dukes established independent duchies, notably Spoleto and Benevento, while the remaining imperial territories were reduced to central and southern Italy [PDF p. 143‑144]",143‑144,143–144,scope_compression,minor,Sardinia and Sicily also remained imperial possessions.
GO-F075,book-final-summary-completion-retry,"the papacy gained increasing autonomy, with Pope Gregory I acting independently of the exarch in Ravenna, negotiating directly with Lombard leaders [PDF p. 145‑146]",145‑146,145‑146,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F076,book-final-summary-completion-retry,"In the Balkans, new threats emerged: the Avars began raiding Moesia after AD 562, demanding tribute yet repeatedly breaking agreements [PDF p. 148‑149]",148‑149,148‑149,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F077,book-final-summary-completion-retry,"more dangerous were the Slavs, who migrated into the Danube frontier after the Lombards’ departure, employing guerrilla tactics such as hiding in water to surprise Roman forces, their incursions intensifying after Justinian’s death and contributing to the empire’s gradual loss of the Balkan provinces [PDF p. 149‑150]",149‑150,149–150,qualification_lost,minor,"The unusual water-concealment tactic is reported testimony, albeit defended by Oman."
GO-F078,book-final-summary-completion-retry,"The author notes that the Latin‑speaking Thraco‑Illyrian population suffered devastating invasions by Slavs and Avars; between 570 and 600 the older inhabitants of northern Balkan lands were almost exterminated, leaving only Dalmatian islanders and scattered “Vlachs” among the new Slav settlers [PDF p. 151]",151,151,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F079,book-final-summary-completion-retry,"John of Ephesus records that in 581 the “accursed people called Slavonians” overran Greece, Thessalonica, and all Thrace, capturing cities, burning forts, and enslaving the population, while fortified towns resisted because neither Slav nor Avar excelled in siege warfare [PDF p. 151‑152]",151‑152,151‑152,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F080,book-final-summary-completion-retry,"General Priscus, appointed by Maurice, held the Danube line, crossed the river and burned enemy villages, yet could not protect unarmed civilians, and the Danube fortresses soon guarded only a desolate region sparsely populated by Slavs [PDF p. 152]",152,152,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F081,book-final-summary-completion-retry,"Maurice’s unpopularity grew as he failed to pay a ransom demanded by the Avar chagan for fifteen thousand prisoners; the chagan massacred the captives, further eroding Maurice’s standing [PDF p. 152‑153]",152‑153,152‑153,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F082,book-final-summary-completion-retry,"in 602 his order that the Danube army winter north of the river was refused, the troops elected centurion Phocas as commander and marched on Constantinople, forcing Maurice’s flight to the Asiatic provinces, his capture at Chalcedon and execution with his five sons [PDF p. 153]",153,153,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F083,book-final-summary-completion-retry,"Phocas, described as a brutal, ignorant soldier, initiated a reign of cruelty, including the execution of Constantina, widow of Maurice, and her three daughters, and the burning alive of the able general Narses after he had come under safe conduct [PDF p. 154‑155]",154‑155,154‑155,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F084,book-final-summary-completion-retry,"During Phocas’s rule the Persian king Chosroes launched a war that penetrated north‑Syria, reached the sea, turned north into Asia Minor and, in 614, reached the gates of Chalcedon [PDF p. 155‑156]",155‑156,155–157,chronology_error,critical,"The advance to Chalcedon under Phocas is dated608, not614; Phocas fell610."
GO-F085,book-final-summary-completion-retry,"although Phocas retained Constantinople, he was eventually deposed by Heraclius, the exarch of Africa, whose fleet arrived at the Dardanelles and whose forces entered the capital after Phocas’s palace guards mutinied [PDF p. 156‑157]",156‑157,156–157,misidentification,critical,The exarch was Heraclius’s father. His son led the fleet and became emperor.
GO-F086,book-final-summary-completion-retry,"Heraclius was crowned on 5 October 610 and inherited an empire with an empty treasury, a depleted army and provinces overrun by Persians, Avars, and Slavs [PDF p. 158]",158,157–158,citation_error,moderate,Coronation and accession conditions are on157.
GO-F087,book-final-summary-completion-retry,"In 613 the Persian commander Shahrbarz seized central Syria, captured Damascus and, in 614, Jerusalem, taking the “True Cross” to Persia; this loss sparked panic in the East, with many believing the fate of Christendom hung in the balance [PDF p. 158‑159]",158‑159,157–159,citation_incomplete,minor,The613 Syrian advance begins on157.
GO-F088,book-final-summary-completion-retry,"the Church loaned its treasures to fund Heraclius’s war effort and the civic corn dole was abolished, allowing the treasury to finance a new army [PDF p. 160]",160,159–160,citation_incomplete,minor,The church loan and abolition of the dole are introduced on159.
GO-F089,book-final-summary-completion-retry,"After a series of setbacks, including the 617 Persian capture of Chalcedon, Heraclius negotiated a temporary peace with the Avars and, in 622, finally marched from the Balkans to confront the Persians directly [PDF p. 160‑161]",160‑161,160–161,compressed_itinerary,moderate,Peace with the Avars was treacherous and delayed the campaign; the622 campaign used a sea landing in Cilicia.
GO-F090,book-final-summary-completion-retry,Heraclius framed his campaigns as a holy crusade; religious zeal motivated his troops as they fought to recover the “True Cross” [PDF p. 161‑162],161‑162,161‑162,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F091,book-final-summary-completion-retry,"Between 622 and 627 he conducted six campaigns, the first clearing Asia Minor by landing in Cilicia and forcing the Persian army to withdraw from the Balkans [PDF p. 162‑163]",162‑163,161–163,geography_error,major,"The first campaign drew Persians from Chalcedon in Asia Minor, not from the Balkans. Its account is on161."
GO-F092,book-final-summary-completion-retry,"in 626 a combined Avar‑Persian siege of Constantinople was repelled; the Roman fleet sank Avar rafts and defeated the attackers, after which the chagan retreated across the Danube [PDF p. 163‑164]",163‑164,163‑164,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F093,book-final-summary-completion-retry,the 628 peace left both empires exhausted [PDF p. 184],184,184,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F094,book-final-summary-completion-retry,"The author mentions Muhammad’s invitations to Heraclius and Chosroes in 628, both receiving only perfunctory replies, prompting the Prophet to deem them unworthy and to foretell mutual destruction [PDF p. 185‑186]",185‑186,186,flattened_distinction,moderate,Chosroes threatened imprisonment; Heraclius sent gifts without a direct theological reply. These are not equivalent perfunctory replies.
GO-F095,book-final-summary-completion-retry,"Arab raids began in 629, and by 634 they captured Bostra; a decisive battle at the Hieromax tributary in 634 allowed the Arabs to defeat the Byzantine field army and capture Damascus in 635 [PDF p. 188‑189]",188‑189,188‑189,supported,none,Checked against the supplied source; the cited passage supports the material claim.
GO-F096,book-final-summary-completion-retry,"Heraclius could not halt the Arab advance; a revolt led by Baanes further destabilized the empire, and in 637 Jerusalem fell, after which Caliph Omar built a mosque on the Temple Mount while sparing Christian sanctuaries [PDF p. 190‑191]",190‑191,189–191,citation_incomplete,moderate,"Baanes and the637 fall are on189, outside the cited range."
GO-F097,book-final-summary-completion-retry,"Heraclius died in 641, his son Constantine failing at the 638 Syrian campaign and losing Egypt to the Arabs in 641 [PDF p. 191‑192]",191‑192,190–192,scope_and_citation_error,moderate,Constantine’s638 campaign is on190. Alexandria still remained at Heraclius’s death and fell in Constans’s minority.
