model,stage,coverage_id,criterion,evidence_pages,judgment,detail,note
gemma26-off,merged-summary-synthesis,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,social change without slavery persistence,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",partial,no later learned monasticism,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],partial,governing classes only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",partial,raid and sons' removal only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,army/manual only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",partial,books without literary recovery,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",partial,critical interpretation only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,merged-summary-synthesis,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",partial,decline and Western aid only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",partial,literary rulers; favorable conditions omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,army support and medical care; no caution/naval limits,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gemma26-off,full-source-control,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H1-summary,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",partial,Hunnic pressure and refuge; Fritigern unnamed,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H1-summary,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",partial,conditions unnamed and arms bribery omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H1-summary,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H1-summary,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H2-summary,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H2-summary,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,"modification stated, persistence not explicit",Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H2-summary,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",partial,ascetic criticism; later learned monasticism omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H2-summary,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],partial,pagan criticism and statecraft; Orosius omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H3-summary,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H3-summary,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",partial,"raid and succession, with agency conflated and transient capture omitted",Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H3-summary,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,army organization/medical support; no caution/naval limits,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H3-summary,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H4-summary,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H4-summary,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H4-summary,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",partial,"Murad/gain reversal; claimants, vision, and rebellion omitted",Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,H4-summary,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",partial,Hunnic pressure and refuge; Fritigern unnamed,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",partial,conditions unnamed and arms bribery omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,modification without explicit persistence,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",partial,no later learned monasticism,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],partial,no Orosius,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",partial,raid/succession without transient capture or correct stages,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,army/medical support only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",partial,"no claimants, vision or rebellion",Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,merged-summary-synthesis,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",partial,invasion and Greek dominance; separation omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,social change without slavery persistence,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",partial,withdrawal; later learned monasticism omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],partial,pagan criticism only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",partial,literary rulers and vague stability,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,manual topic only; no declared military details,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",partial,books/revival mentioned but periods falsely linked,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",partial,decline; Oman judgment omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",partial,opportunity and gains; reversal has wrong actor,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",partial,gain reversal only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
qwen35-off-mtp,full-source-control,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",partial,decline and Western aid; no Thessalonica/vassalage,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H1-summary,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",partial,Hunnic pressure and refuge; Fritigern unnamed,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H1-summary,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",partial,conditions and food revolt; arms bribery omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H1-summary,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H1-summary,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H2-summary,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H2-summary,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,social changes; slavery persistence omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H2-summary,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H2-summary,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H3-summary,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H3-summary,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",partial,raid/guardians/sons; counterfactual rescue made factual and first deposition omitted,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H3-summary,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,themes/army/fleet topics; no caution/naval limits,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H3-summary,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H4-summary,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H4-summary,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H4-summary,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,H4-summary,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",partial,Western aid and passive rule; no urban details/vassalage/Thessalonica fate,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",partial,Hunnic pressure and refuge; Fritigern unnamed,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",partial,no arms bribery,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",partial,no slavery persistence,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",partial,raid/succession with same defects,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,no caution/naval limits,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H4-C1,Oman’s critical interpretation of late imperial decline and Manuel’s limited inheritance,"[358, 359, 360]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H4-C2,Angora and Ottoman civil war created Manuel’s brief opportunity for recovery,"[360, 361, 362]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H4-C3,"Rival claimants provoked Murad; a reported vision encouraged resistance, while rebellion prompted withdrawal","[363, 365]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,merged-summary-synthesis,H4-C4,"Renewed vassalage, urban decline, loss of Thessalonica, and limited Western assistance","[365, 366, 367]",partial,Western aid/passivity only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H1-C1,Hunnic pressure and Fritigern’s Visigoths seeking admission,"[61, 62]",partial,Hunnic pressure and refuge; Fritigern unnamed,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H1-C2,"Valens’s conditions, corruption over arms and food, and revolt","[63, 64]",partial,no arms bribery,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H1-C3,Indecisive Ad Salices followed by the distinct Roman defeat at Adrianople,"[64, 65, 66, 67]",partial,Adrianople only,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H1-C4,Constantinople’s defenses deterred the Gothic attack,[67],omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H2-C1,Decline of Latin in the East and the author’s explanation,"[169, 170]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H2-C2,"Christianity’s social changes, retaining the qualification that slavery persisted","[171, 173]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H2-C3,"Oman’s criticism of ascetic withdrawal, distinguished from later learned monasticism","[174, 175]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H2-C4,"Pagan criticism, Orosius’s response, and continuing statecraft amid religious change",[176],omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H3-C1,Leo and Constantine as literary rulers under relatively favorable conditions,"[241, 242]",partial,literary pursuits; no favorable conditions,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H3-C2,Thessalonica’s transient capture and the separate stages of Constantine’s succession,"[242, 243]",omitted,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H3-C3,"Leo’s account of military organization, tactical caution, and naval limits","[244, 245, 246]",partial,army organization; no caution/naval limits,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
gptoss120-medium,full-source-control,H3-C4,Constantine’s books and the author’s account of literary recovery,"[246, 247]",covered,,Coverage presence does not imply factual correctness. Compound units require their specified components for covered.
