model,stage,unit_id,output_text,cited_pages,issue_families,precision_families,review_status,unit_definition
gemma26-off,H3-summary,H3-summary-U002,"The author characterizes this era as being defined by the reigns of Leo the Wise and Constantine Porphyrogenitus, whom the author describes as mild, inoffensive men of literature [PDF p. 241].",[241],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U003,"While the author notes that the period 880–960 was less troubled by foreign wars than other eras, Leo's reign was interrupted by a Bulgarian invasion and a Saracen raid on Thessalonica in 904 [PDF p. 242].",[242],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U004,The author evaluates the loss of Thessalonica as a disgraceful incident for Leo's administration [PDF p. 242].,[242],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U005,"Constantine VII's reign began under the tutelage of guardians, including the emperor-regent Alexander and later the ambitious admiral Romanus Lecapenus, who usurped power and kept the rightful heir in the background [PDF p. 243].",[243],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U006,Constantine eventually regained power after a popular uprising against the sons of Romanus [PDF p. 243].,[243],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U007,The author describes Constantine as a somewhat weak and ineffective ruler [PDF p. 243].,[243],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U008,"Ultimately, the author identifies the chief achievements of both emperors as their books [PDF p. 244].",[244],[],"[""H3-chief-books-locator""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U009,"Leo's military manual provides a detailed picture of the organized Byzantine army and fleet [PDF p. 244, 246],","[244, 246]",[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H3-summary,H3-summary-U010,"while Constantine's works, though sometimes focused on trifling topics like court ceremonies, demonstrate his skill as a methodical compiler [PDF p. 246].",[246],[],"[""H3-compiler-locator""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U001,The author characterizes the final seventy-five years of the Byzantine Empire as a mere piece of local history that no longer serves as an important thread in Christendom [PDF p. 358].,[358],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U002,"The author judges the Paleologi dynasty as having practiced a base subservience to the Turks, which unnecessarily protracted the empire's existence [PDF p. 358].",[358],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U003,"During the reign of John Paleologus, the emperor was vexed by the undutiful behavior of his son, Andronicus, who rebelled and was eventually blinded [PDF p. 359].",[359],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U004,"Consequently, John left the throne to his second son, Manuel II [PDF p. 359].",[359],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U005,"Manuel II experienced a period of potential liberation when the Tartars defeated Sultan Bayezid at Angora in 1402, causing Ottoman civil war [PDF p. 360].",[360],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U006,"Manuel sold his aid to the pretender Suleiman, briefly regaining significant territories [PDF p. 361].",[361],[],"[""H4-gains-locator""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U007,"However, the rise of Mohammed, a man of genius, reunited the Ottoman realm by 1421 [PDF p. 362].",[362],[],"[""H4-unattributed-genius""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U008,"After Manuel's death, his successor John VI presided over an empire in a state of exhaustion and debility [PDF p. 365].",[365],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,H4-summary,H4-summary-U009,"Despite John's attempt to secure Western aid through conversion to Roman Catholicism at the Council of Florence, the author notes he received only a small sum of money and three hundred mercenaries [PDF p. 367].",[367],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U001,"Around A.D. 372, the Huns moved westward from the Don and Volga, nearly exterminating the Alans and attacking the Goths [PDF p. 61].",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U002,"The Ostrogoths were crushed into vassalage, while a remnant fled toward the Danube [PDF p. 61].",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U003,"The Huns also attacked the Visigoths, who retreated to the Danube under Duke Fritigern [PDF p. 61].",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U004,The author judges that the Visigoths found surrender intolerable because they were more civilized and Christian than their eastern counterparts [PDF p. 62].,[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U005,"In A.D. 376, the Visigoths requested permission to cross the border [PDF p. 62].",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U006,"The author characterizes the Eastern Emperor, Valens, as a stupid, cowardly, and avaricious prince [PDF p. 62].",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U007,"Although Valens allowed the Goths to settle as subject-allies provided they surrendered arms and gave hostages, Roman officials accepted bribes to let the Goths keep weapons [PDF p. 63].",[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U008,"The governor, Lupicinus, further extorted the immigrants by withholding food [PDF p. 63].",[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U009,"This desperation caused a violent affray at Marcianopolis, leading Fritigern to take up arms against Rome [PDF p. 64].",[64],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U010,"In A.D. 378, Valens engaged the Goths near Adrianople [PDF p. 65].",[65],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U011,"The author observes that the Goths had learned to fight on horseback, which he calls a new development in warfare [PDF p. 65].",[65],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U012,"A Gothic cavalry charge caused confusion among the Roman infantry, resulting in the death of forty thousand men and the Emperor [PDF p. 66].",[66],"[""H1-casualty-citation""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U013,The author describes this as the most fearful Roman defeat since Cannae [PDF p. 67].,[67],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U014,"The author describes a decay of the Latin tongue in the East, noting that a large Latin-speaking population in the Balkans vanished by the seventh century [PDF p. 169].",[169],"[""H2-Latin-extinction""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U015,This decline is attributed to the division of the empire and the decimation of Latin-speaking provinces by barbarians such as the Visigoths and Slavs [PDF p. 170].,[170],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U016,"By A.D. 620, less than one tenth of provincials east of the Adriatic spoke Latin [PDF p. 170].",[170],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U017,"Simultaneously, the empire became increasingly Christian [PDF p. 171].",[171],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U018,"The author evaluates Christianity as a force that improved the condition of vulnerable classes by emphasizing the importance of the individual soul [PDF p. 172, 173].","[172, 173]","[""H2-soul-citation""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U019,"However, the author judges the rise of ascetic monasticism as positively dangerous because it led thousands to abandon civic duties [PDF p. 174].",[174],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U020,This apathetic attitude caused many to view barbarian invasions as divine judgments rather than national calamities [PDF p. 175].,[175],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U021,"While the governing classes fought to preserve the state, the author notes that paganism disappeared by the end of the fifth century, replaced by widespread indifference among the educated classes [PDF p. 175, 176].","[175, 176]","[""H2-paganism-extinction""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U022,The eighty years following the death of Basil the Macedonian are characterized by the author as the most monotonous in the empire's history [PDF p. 241].,[241],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U023,"This era was defined by the reigns of Leo the Wise and Constantine Porphyrogenitus, whom the author describes as mild, inoffensive men of literature [PDF p. 241].",[241],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U024,"Although the period 880–960 was less troubled by foreign wars, Leo's reign was interrupted by a Bulgarian invasion and a Saracen raid on Thessalonica in 904 [PDF p. 242].",[242],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U025,The author evaluates the loss of Thessalonica as a disgraceful incident for Leo's administration [PDF p. 242].,[242],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U026,"Constantine VII's reign began under guardians, including the emperor-regent Alexander and the ambitious admiral Romanus Lecapenus, who usurped power [PDF p. 243].",[243],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U027,Constantine eventually regained power following a popular uprising against the sons of Romanus [PDF p. 243].,[243],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U028,The author describes Constantine as a somewhat weak and ineffective ruler [PDF p. 243].,[243],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U029,The author identifies the chief achievements of both emperors as their books [PDF p. 244].,[244],[],"[""H3-chief-books-locator""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U030,"Leo's military manual provides a detailed picture of the Byzantine army and fleet [PDF p. 244, 246],","[244, 246]",[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U031,while Constantine's works demonstrate his skill as a methodical compiler [PDF p. 246].,[246],[],"[""H3-compiler-locator""]",precision note,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U032,The author characterizes the final seventy-five years of the Byzantine Empire as a mere piece of local history that no longer serves as an important thread in Christendom [PDF p. 358].,[358],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U033,"The author judges the Paleologi dynasty as having practiced a base subservience to the Turks, which he claims unnecessarily protracted the empire's existence [PDF p. 358].",[358],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U034,"During the reign of John Paleologus, the emperor was vexed by his son Andronicus, who rebelled and was blinded [PDF p. 359].",[359],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U035,"Consequently, John left the throne to his second son, Manuel II [PDF p. 359].",[359],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U036,Manuel II experienced potential liberation when the Tartars defeated Sultan Bayezid at Angora in 1402 [PDF p. 360].,[360],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U037,"Manuel sold his aid to the pretender Suleiman, briefly regaining significant territories [PDF p. 361].",[361],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U038,"However, the rise of Mohammed reunited the Ottoman realm by 1421 [PDF p. 362].",[362],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U039,"After Manuel's death, his successor John VI presided over an empire in a state of exhaustion and debility [PDF p. 365].",[365],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,merged-summary-synthesis,merged-summary-synthesis-U040,"Despite John's attempt to secure Western aid through conversion to Roman Catholicism at the Council of Florence, the author notes he received only a small sum of money and three hundred mercenaries [PDF p. 367].",[367],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U001,"Around A.D. 372, Huns from beyond the Don and Volga moved westward, nearly exterminating the Alans and subsequently attacking the Goths (61).",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U002,"The author describes the Huns as savages with ""shapeless black collops of flesh"" who possessed a ""ferocity of the wild beast"" (61).",[61],"[""H1-quoted-historian-attribution""]",[],issue recorded,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U003,"The Ostrogoths attempted to defend the Dniester but were crushed and forced into vassalage, leaving only a remnant to flee toward the Danube (61).",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U004,"The Visigoths, led by Duke Fritigern, were also driven back by the Huns until they reached the Danube (61).",[61],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U005,"The author notes that the Visigoths found surrender more dreadful than their eastern brethren because they were more civilized and Christian, making the prospect of slavery to savages ""intolerable"" (62).",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U006,"In A.D. 376, the Visigoths requested permission from the Emperor Valens to cross the Danube (62).",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U007,"The author characterizes Valens as a ""stupid, cowardly, and avaricious prince"" who ruled the East while his brother Valentinian held the West (62).",[62],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U008,Valens eventually allowed the Goths to settle as subject-allies on the condition that they surrender their arms and provide hostages (63).,[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U009,"However, once in Moesia, the Goths refused to disarm, and Roman officials accepted bribes to allow them to keep their weapons (63).",[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U010,"Furthermore, the governor Lupicinus withheld food to extort high prices, driving the Goths to desperation and causing them to sell children for slaves (63).",[63],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U011,"This tension culminated in a violent affray at Marcianopolis, leading Fritigern to take up arms against Rome (64).",[64],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U012,"The author observes that the subsequent Gothic war revealed that the ""barbarian spirit was but thinly covered by the veneer of Christianity"" (64).",[64],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U013,"In A.D. 378, Valens personally led an army of 60,000 against the Goths near Adrianople (65).",[65],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U014,"Although the Roman infantry was traditionally considered superior, the Goths had learned to fight on horseback during their time in Russia (65).",[65],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
gemma26-off,full-source-control,full-source-control-U015,"During the battle, a Gothic cavalry charge struck the Roman flank, causing ""hopeless confusion"" among the infantry (66).",[66],[],[],no additional material issue identified in supplied-text review,"Citation-delimited segment, possibly multiple claims or a sentence fragment. Not an atomic claim or accuracy denominator."
